Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
blaSHV-13	99.77	861/861	100.0	1..861	573.24247.con.0078 type=contig length=1331	212..1072	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	AF164577
blaTEM-1A	100.00	861/861	100.0	1..861	573.24247.con.0083 type=contig length=1164	109..969	Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin	HM749966
blaOXA-1	100.00	831/831	100.0	1..831	573.24247.con.0058 type=contig length=2438	707..1537	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam	HQ170510
fosA6	99.52	420/420	100.0	1..420	573.24247.con.0004 type=contig length=350494	15889..16308	Fosfomycin	KU254579
ere(A)	100.00	1257/1257	100.0	1..1257	573.24247.con.0059 type=contig length=2338	224..1480	Erythromycin	FN396877
msr(E)	100.00	1476/1476	100.0	1..1476	573.24247.con.0043 type=contig length=13155	6610..8085	Erythromycin, Azithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	FR751518
mph(E)	99.89	885/885	100.0	1..885	573.24247.con.0043 type=contig length=13155	8141..9025	Erythromycin	DQ839391
cmlA1	99.68	1260/1260	100.0	1..1260	573.24247.con.0068 type=contig length=1923	207..1466	Chloramphenicol	M64556
catB3	100.00	442/633	69.826224328594	1..442	573.24247.con.0058 type=contig length=2438	128..569	Chloramphenicol	AJ009818
catB3	100.00	442/633	69.826224328594	1..442	573.24247.con.0058 type=contig length=2438	128..569	Chloramphenicol	U13880
qnrB1	100.00	645/645	100.0	1..645	573.24247.con.0067 type=contig length=2215	624..1268	Ciprofloxacin	DQ351241
OqxB	98.83	3153/3153	100.0	1..3153	573.24247.con.0003 type=contig length=444294	408828..411980	Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim	EU370913
OqxA	99.23	1176/1176	100.0	1..1176	573.24247.con.0003 type=contig length=444294	412004..413179	Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim	EU370913
ARR-2	100.00	453/453	100.0	1..453	573.24247.con.0059 type=contig length=2338	1726..2178	Rifampicin	HQ141279
sul2	100.00	816/816	100.0	1..816	573.24247.con.0049 type=contig length=5366	4086..4901	Sulfamethoxazole	AY034138
sul1	100.00	774/828	93.47826086956522	1..774	573.24247.con.0081 type=contig length=1227	454..1227	Sulfamethoxazole	AY522923
sul1	100.00	774/882	87.75510204081633	1..774	573.24247.con.0081 type=contig length=1227	454..1227	Sulfamethoxazole	DQ914960
sul1	100.00	774/840	92.14285714285714	1..774	573.24247.con.0081 type=contig length=1227	454..1227	Sulfamethoxazole	U12338
dfrA14	100.00	474/474	100.0	1..474	573.24247.con.0079 type=contig length=1311	695..1168	Trimethoprim	KF921535
dfrA12	100.00	498/498	100.0	1..498	573.24247.con.0065 type=contig length=2241	367..864	Trimethoprim	AM040708
dfrA1	100.00	474/474	100.0	1..474	573.24247.con.0030 type=contig length=41957	688..1161	Trimethoprim	X00926
